Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoExposure,TBox,https://www.theworldavatar.com/kg/ontoexposure/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoExposure,TBox,1.2,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoExposure,TBox,Ontology used to calculate exposures to the environment,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoExposure,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Trip,Class,,,,,,,https://www.theworldavatar.com/kg/ontoexposure/,
Calculation,Class,,,,,,,https://www.theworldavatar.com/kg/ontoexposure/,
TrajectoryCount,Class,Calculation,IS-A,,,,Number of features within the buffer of the trajectory,https://www.theworldavatar.com/kg/ontoexposure/,Count
TrajectoryArea,Class,Calculation,IS-A,,,,Total intersected area between the trajectory buffer and exposure elements (polygons),https://www.theworldavatar.com/kg/ontoexposure/,Area
Count,Class,Calculation,IS-A,,,,Number of features within the buffer of a fixed vector element,https://www.theworldavatar.com/kg/ontoexposure/,Count
Area,Class,Calculation,IS-A,,,,Total intersected area between the buffer of a fixed vector element and the exposure elements (polygons),https://www.theworldavatar.com/kg/ontoexposure/,Area
AreaWeightedSum,Class,Calculation,IS-A,,,,The sum of the product between the value and area associated with the intersected vector elements,https://www.theworldavatar.com/kg/ontoexposure/,Area weighted sum
RasterArea,Class,Calculation,IS-A,,,,Sum of pixel area enclosed by buffer,https://www.theworldavatar.com/kg/ontoexposure/,Raster area
RasterAverage,Class,Calculation,IS-A,,,,Average of pixel values enclosed by buffer,https://www.theworldavatar.com/kg/ontoexposure/,Raster average
RasterSum,Class,Calculation,IS-A,,,,Sum of pixel value enclosed by buffer,https://www.theworldavatar.com/kg/ontoexposure/,Raster sum
TotalLength,Class,Calculation,IS-A,,,,Sum of length of lines enclosed by buffer,https://www.theworldavatar.com/kg/ontoexposure/,Total length
Areal,Class,Calculation,IS-A,,,,Direct assignment of features with values attached,https://www.theworldavatar.com/kg/ontoexposure/,Areal
Average,Class,Calculation,IS-A,,,,Average of intersected features,https://www.theworldavatar.com/kg/ontoexposure/,Average
WeightedAverage,Class,Calculation,IS-A,,,,Weighted average of intersected features,https://www.theworldavatar.com/kg/ontoexposure/,Weighted average
ClosestDistance,Class,Calculation,IS-A,,,,Calculates the closest distance between the subject and features in the exposure dataset,https://www.theworldavatar.com/kg/ontoexposure/,Closest distance
ExposureResult,Class,,,,,,Result of a calculation,https://www.theworldavatar.com/kg/ontoexposure/,
ExposureDataset,Class,http://www.w3.org/ns/dcat#Dataset,IS-A,,,,Super class of exposure datasets,https://www.theworldavatar.com/kg/ontoexposure/,
